conflictID,length
8678,278
4546,198
22991,195
15116,899
15093,557
9461,219
3041,187
21519,319
6917,198
10759,277
17767,203
16568,292
3158,312
4475,380
18525,336
11106,166
20874,334
8824,204
13008,614
12024,131
3787,194
53,262
10753,306
21936,178
13695,241
8674,899
20521,207
8557,617
4831,296
18766,899
7165,621
4770,710
1861,297
2916,474
21872,107
12355,408
5704,313
6953,159
13732,159
14434,273
19648,576
8381,358
1528,152
9301,704
19848,358
11720,249
3353,142
18950,274
11248,523
11089,516
1368,289
22117,714
12893,152
14410,899
18619,357
3547,138
18595,256
5073,322
3028,518
18979,237
1123,836
11648,550
10042,609
15110,221
17839,157
2888,224
13797,283
2053,266
4852,114
22950,134
12337,491
17211,274
8030,373
4208,645
2366,570
18154,197
9294,189
11647,439
12397,378
7874,148
9060,260
17302,899
19752,285
22040,138
6697,254
13716,119
794,760
1354,296
16666,219
1833,222
22033,268
6889,222
14822,892
3772,229
5445,649
9127,899
13721,433
15064,403
19905,877
22235,396
19904,232
13976,252
1633,458
19558,317
7773,153
7081,457
2743,403
5695,226
17788,269
4408,511
4261,162
13525,150
19312,178
10581,187
21040,206
23,518
12730,302
620,204
13258,600
8057,288
16118,471
13933,415
16350,242
15392,602
14737,339
13195,268
3387,648
19662,486
781,225
15429,127
156,515
8278,210
1888,254
89,293
3292,438
18857,243
8680,116
21758,267
22167,319
7243,519
14448,515
2574,256
8796,332
668,116
17301,166
17408,316
14445,771
6788,133
3594,290
10278,299
6436,789
16005,129
19408,341
1122,231
10344,146
13465,159
18592,236
10923,621
11654,185
18567,198
2734,185
8646,160
8385,222
18951,608
427,469
6674,106
22987,347
11416,181
3251,647
14864,622
16323,285
20399,442
15283,564
11123,171
10799,230
18236,899
16331,168
22787,474
22535,101
10852,301
20424,147
21658,155
5178,239
4577,149
4391,172
9399,645
10190,116
4606,172
3154,115
20974,493
17635,487
9556,186
12121,244
20442,229
6699,124
16835,101
